 x,date,title_translate,title,searchCount,rank,words_list,"Coron-Related ( 1 yes, 0 not ) "
43,2020/01/01,Zheng Shuang want to try the villain,郑爽想尝试反面角色,6531530,44,"['郑爽', '想', '尝试', '反面', '面角', '角色', '反面角色']",
44,2020/01/01,National 487 provincial boundaries abolition of all toll stations,全国487个省界收费站全部取消,6452642,45,"['全国', '487', '个', '省界', '收费', '收费站', '全部', '取消']",
45,2020/01/01,2020 first ray of sunshine,2020年第一缕阳光,6415211,46,"['2020', '年', '第一', '一缕', '第一缕', '阳光']",
46,2020/01/01,New Year's Eve,跨年,6412275,47,['跨年'],
47,2020/01/01,Li show the way to wipe lipstick,李宇春表演途中擦掉口红,6331741,48,"['李宇春', '表演', '途中', '擦掉', '口红']",
48,2020/01/01,"Later, the first batch of 20",首批20后来了,6278633,49,"['首批', '20', '后来', '了']",
49,2020/01/01,Mike,贺军翔,6215382,50,['贺军翔'],
50,2020/01/02,Kim Hee Chul MOMO admits affair,金希澈MOMO承认恋情,11404321,1,"['金希澈', 'MOMO', '承认', '恋情']",
51,2020/01/02,Liu Yuning I said that is my line,刘宇宁我行即我道,11243241,2,"['刘宇宁', '我行', '即', '我', '道']",
52,2020/01/02,Zhang Ying Ying family was dismissed civil action,章莹颖家人民事诉讼被驳回,10770574,3,"['章莹颖', '家人', '民事', '诉讼', '民事诉讼', '被', '驳回']",
53,2020/01/02,Luhan eat sowing,鹿晗吃播,10578806,4,"['鹿晗', '吃播']",
54,2020/01/02,Why this change fast Kyung broadcast time,快本为何炅改播出时间,10486588,5,"['快本', '为何', '炅', '改', '播出', '时间']",
55,2020/01/02,Wu Yifan neck,吴亦凡 脖子,10326740,6,"['吴亦凡', ' ', '脖子']",
56,2020/01/02,Xiaozhan years MV,肖战 余年MV,10100540,7,"['肖战', ' ', '余年', 'MV']",
57,2020/01/02,Designers Xiaozhan occupational diseases,设计师肖战的职业病,10052997,8,"['设计', '设计师', '肖战', '的', '职业', '职业病']",
58,2020/01/02,Xiaozhan own jokes laughed box,肖战讲笑话自己笑出了框,9880545,9,"['肖战', '讲', '笑话', '自己', '笑', '出', '了', '框']",
59,2020/01/02,Laba Festival,腊八节,9855265,10,"['腊八', '八节', '腊八节']",
60,2020/01/02,NBA commissioner David Stern before his death,NBA前总裁斯特恩去世,9818206,11,"['NBA', '前', '总裁', '斯特', '斯特恩', '去世']",
61,2020/01/02,Tango alone,孤单探戈,9764498,12,"['孤单', '探戈']",
62,2020/01/02,Jackson Wang JJ Cao Cao chorus,王嘉尔林俊杰合唱曹操,9596992,13,"['王嘉尔', '俊杰', '林俊杰', '合唱', '曹操']",
63,2020/01/02,Wang Yibo professional actions do not imitate,王一博专业动作请勿模仿,9499279,14,"['王一博', '专业', '动作', '请勿', '模仿']",
64,2020/01/02,"Flight cancellations caused by a coin toss Pipan Pei 120,000",扔硬币致航班取消被判赔12万,9325443,15,"['扔', '硬币', '致', '航班', '取消', '被判', '被判赔', '12', '万']",
65,2020/01/02,Li Tie as football coach,李铁出任国足主帅,9287653,16,"['李铁', '出任', '国', '足', '主帅']",
66,2020/01/02,2020 good to me please,2020请对我好一点,9201205,17,"['2020', '请', '对', '我', '好', '一点']",
67,2020/01/02,Wuhan flights now suspected infectious human false news,武汉航班现疑似传染病人为不实消息,9090635,18,"['武汉', '航班', '现', '疑似', '传染', '染病', '传染病', '人为', '不', '实', '消息']",
68,2020/01/02,Fire Fighter me,叫我火炫风,8948174,19,"['叫', '我', '火炫风']",
69,2020/01/02,Wang Yuan was splashed in the eyes stage fireworks,王源被舞台烟花溅到眼睛,8943265,20,"['王源', '被', '舞台', '烟花', '溅', '到', '眼睛']",
70,2020/01/02,Guan Xiaotong wear Luhan sweater,关晓彤穿鹿晗的卫衣,8853352,21,"['关晓彤', '穿', '鹿晗', '的', '卫衣']",
71,2020/01/02,National 487 provincial boundaries abolition of all toll stations,全国487个省界收费站全部取消,8684396,22,"['全国', '487', '个', '省界', '收费', '收费站', '全部', '取消']",
72,2020/01/02,Zhou Xun Yapeng Faye Wong Dou Jing Tong in frame,王菲李亚鹏周迅窦靖童同框,8677236,23,"['王菲', '李亚鹏', '周迅', '窦靖童', '同框']",
73,2020/01/02,Yangtze River fishing ban ten years,长江十年禁渔,8616539,24,"['长江', '十年', '禁渔']",
74,2020/01/02,Zheng Shuang want to try the villain,郑爽想尝试反面角色,8521471,25,"['郑爽', '想', '尝试', '反面', '面角', '角色', '反面角色']",
75,2020/01/02,肖战 Chongqing,肖战 重庆,8499558,26,"['肖战', ' ', '重庆']",
76,2020/01/02,Deng purple chess scene ultra-stable,邓紫棋现场超稳,8497388,27,"['邓紫棋', '现场', '超稳']",
77,2020/01/02,Fire rescue firefighter finished more than a layer of ice armor,消防员救完火多了一层冰铠甲,8404703,28,"['消防', '消防员', '救', '完火', '多', '了', '一层', '冰', '铠甲']",
78,2020/01/02,Sea stars mv release,星辰大海mv发布,8361093,29,"['星辰', '大海', 'mv', '发布']",
79,2020/01/02,Sales efforts Ling Xiao Su,努力营业凌潇肃,8340847,30,"['努力', '营业', '凌潇肃']",
80,2020/01/02,Wang Junkai Nortel ending premiere,王俊凯北电期末公演,8332681,31,"['王俊凯', '北电', '期末', '公演']",
81,2020/01/02,Faye new site disco pants,王菲 新裤子现场蹦迪,8287045,32,"['王菲', ' ', '新', '裤子', '现场', '蹦迪']",
82,2020/01/02,Father was humiliated father groom wedding row,岳父遭父亲羞辱新郎大闹婚礼,8279619,33,"['岳父', '遭', '父亲', '羞辱', '新郎', '大闹', '婚礼']",
83,2020/01/02,Network truck drivers about sudden death New Year's Eve,网约车司机跨年夜猝死,8231819,34,"['网约车', '司机', '跨年', '夜', '猝死']",
84,2020/01/02,CPR pressure off Granny 12 rib,做心肺复苏压断老太12根肋骨,8055856,35,"['做', '心肺', '复苏', '压断', '老太', '12', '肋骨', '根肋骨']",
85,2020/01/02,ZhouDongYu silver gray buzz cut,周冬雨银灰寸头,8015324,36,"['周', '冬雨', '银灰', '寸头']",
86,2020/01/02,Wang Yibo water dancing and singing,王一博水中唱跳,7917213,37,"['王一博', '水中', '唱', '跳']",
87,2020/01/02,Police were forced to say giaogiao,民警被逼得说giaogiao,7840444,38,"['民警', '被', '逼', '得', '说', 'giaogiao']",
88,2020/01/02,Your yard is a small yet lovely,你的被子里有一个小可爱吗,7824096,39,"['你', '的', '被子', '里', '有', '一个', '小可', '可爱', '小可爱', '吗']",
89,2020/01/02,Wu Xin height and weight exposure,吴昕身高体重曝光,7807171,40,"['吴昕', '身高', '体重', '身高体重', '曝光']",
90,2020/01/02,Taiwan Black Hawk helicopter made a forced landing,台湾一架黑鹰直升机迫降,7770659,41,"['台湾', '一架', '黑鹰', '直升', '升机', '直升机', '迫降']",
91,2020/01/02,Hanazawa coriander Wang Su waterfall a little sweet,花泽香菜汪苏泷有点甜,7756803,42,"['花泽', '香菜', '汪苏', '泷', '有点', '甜']",
92,2020/01/02,Scarab Wang Ning talk about love,金龟子王宁谈初恋,7731808,43,"['金龟', '金龟子', '王宁谈', '初恋']",
93,2020/01/02,Domestic formally approved HPV vaccine,国产HPV疫苗正式获批,7681666,44,"['国产', 'HPV', '疫苗', '正式', '获批']",
94,2020/01/02,Millet trademark infringement Panpei 12 million,小米商标侵权判赔1200万,7674646,45,"['小米', '商标', '侵权', '判赔', '1200', '万']",
95,2020/01/02,Li Yitong Li Hong its fans to send dog food,李一桐李鸿其送粉丝狗粮,7653350,46,"['李一桐', '李鸿其', '送', '粉丝', '狗', '粮']",
96,2020/01/02,Zheng Xu wig wearing fur sister,徐峥戴毛毛姐假发,7615120,47,"['徐峥', '戴', '毛毛', '姐', '假发']",
97,2020/01/02,Malaysia Airlines MH319 response after take-off return,马航回应MH319起飞后返航,7609193,48,"['马航', '回应', 'MH319', '起飞', '后', '返航']",
98,2020/01/02,Mom and Dad after the crowd turned sprinkle sweet dog food,老妈后爸撒狗粮甜翻众人,7456880,49,"['老妈', '后爸', '撒狗', '粮甜', '翻', '众人']",
99,2020/01/02,Zhang Yixing abroad to sing K,张艺兴国外唱K,7353559,50,"['张艺', '兴国', '外唱', 'K']",
100,2020/01/03,Zhu Ting responded Day Bing Gege hardcore confession,朱婷回应国庆兵哥哥硬核表白,10626028,1,"['朱婷', '回应', '国庆', '兵哥', '哥哥', '兵哥哥', '硬核', '表白']",
101,2020/01/03,Tango alone,孤单探戈,10329774,2,"['孤单', '探戈']",
102,2020/01/03,Guan Xiaotong wear Luhan sweater,关晓彤穿鹿晗的卫衣,10143561,3,"['关晓彤', '穿', '鹿晗', '的', '卫衣']",
103,2020/01/03,Luhan airborne vibrato save fondue Bureau,鹿晗空降抖音攒火锅局,10038068,4,"['鹿晗', '空降', '抖音', '攒', '火锅', '局']",
104,2020/01/03,Mom and Dad after the crowd turned sprinkle sweet dog food,老妈后爸撒狗粮甜翻众人,9794737,5,"['老妈', '后爸', '撒狗', '粮甜', '翻', '众人']",
105,2020/01/03,Xueying Zhang nail technology,张雪迎美甲技术,9540563,6,"['张雪迎', '美甲', '技术']",
106,2020/01/03,Liu Yuning I said that is my line,刘宇宁我行即我道,9314214,7,"['刘宇宁', '我行', '即', '我', '道']",
107,2020/01/03,Zhang Ying Ying family was dismissed civil action,章莹颖家人民事诉讼被驳回,9116480,8,"['章莹颖', '家人', '民事', '诉讼', '民事诉讼', '被', '驳回']",
108,2020/01/03,Kim Hee Chul MOMO admits affair,金希澈MOMO承认恋情,9075811,9,"['金希澈', 'MOMO', '承认', '恋情']",
109,2020/01/03,Zhang Ziyi two sub-viviparous,章子怡二胎生子,8979263,10,"['章子', '章子怡', '二胎', '生子']",
110,2020/01/03,The stage is everywhere,舞台无处不在,8976809,11,"['舞台', '无处', '不在', '无处不在']",
111,2020/01/03,I quite tide country,我挺国潮,8927308,12,"['我', '挺', '国潮']",
112,2020/01/03,Paper folding pigs Taiyizhenren,纸折太乙真人的猪,8877808,13,"['纸折', '太', '乙', '真人', '的', '猪']",
113,2020/01/03,Returned four sons gathered vibrato,归国四子齐聚抖音,8499291,14,"['归国', '四子', '齐聚', '抖音']",
114,2020/01/03,ETC balance of more than 20 million in response to President,ETC余额2000多万行长回应,8453983,15,"['ETC', '余额', '2000', '多万', '行长', '回应']",
115,2020/01/03,Xueying Zhang laughing long eye teeth modification,张雪迎笑称虎牙长变形,8312037,16,"['张雪迎', '笑', '称', '虎牙', '长', '变形']",
116,2020/01/03,Sicong birthday party,王思聪庆生派对,8257842,17,"['王思聪', '庆生', '派对']",
117,2020/01/03,Xiaozhan darted surface bounding in,肖战蹦蹦哒哒去吃小面,8143177,18,"['肖战', '蹦蹦', '哒', '哒', '去', '吃', '小面']",
118,2020/01/03,Show diffuse expression package cos,漫展表情包cos,8054954,19,"['漫展', '表情', '包', 'cos']",
119,2020/01/03,Tang Fei sent sixty thousand red envelopes to respond,唐一菲回应发六万红包,7966658,20,"['唐一菲', '回应', '发', '六万', '红包']",
120,2020/01/03,Xiaozhan own jokes laughed box,肖战讲笑话自己笑出了框,7919195,21,"['肖战', '讲', '笑话', '自己', '笑', '出', '了', '框']",
121,2020/01/03,Deng Chao Sun Li thanks to find me in the open sea,邓超 感谢孙俪在茫茫大海找到我,7906413,22,"['邓超', ' ', '感谢', '孙俪', '在', '茫茫', '大海', '茫茫大海', '找到', '我']",
122,2020/01/03,Swallowed AirPod doctors recommend self-discharge,误吞AirPod医生建议自行排出,7882392,23,"['误吞', 'AirPod', '医生', '建议', '自行', '排出']",
123,2020/01/03,Iran's supreme leader said it would retaliate severely USA,伊朗最高领导人称将严厉报复美国,7811841,24,"['伊朗', '最高', '领导', '领导人', '称', '将', '严厉', '报复', '美国']",
124,2020/01/03,Du Jiang effort is not worth mentioning things,杜江 努力是最不值得一提的事,7698519,25,"['杜江', ' ', '努力', '是', '最', '不', '值得', '值得一提', '的', '事']",
125,2020/01/03,When your mother asks you home for dinner it,当你妈问你回家吃饭吗,7543556,26,"['当', '你', '妈', '问', '你', '回家', '吃饭', '吗']",
126,2020/01/03,Jackie Chan praised Yang Yang very man,成龙夸赞杨洋很爷们,7529395,27,"['成龙', '夸赞', '杨洋', '很', '爷们']",
127,2020/01/03,Doctors secretly cheating River game,河比赛医生偷偷作弊,7503201,28,"['河', '比赛', '医生', '偷偷', '作弊']",
128,2020/01/03,Zhang Yixing face scalped tickets,张艺兴面对黄牛票,7431951,29,"['张艺兴', '面对', '黄牛', '黄牛票']",
129,2020/01/03,The driver illegally parked checked arrogant attitude,女司机违停被查态度嚣张,7399458,30,"['司机', '女司机', '违停', '被', '查', '态度', '嚣张']",
130,2020/01/03,Starchaser mother for his son Liu Hao Ran,妈妈替儿子追星刘昊然,7389454,31,"['妈妈', '替', '儿子', '追星', '刘昊然']",
131,2020/01/03,Yue Yunpeng girl singing bridge,岳云鹏唱桥边姑娘,7291697,32,"['岳云鹏', '唱', '桥边', '姑娘']",
132,2020/01/03,No ambulances were forced to install ETC toll,没安装ETC救护车被强行收费,7276378,33,"['没', '安装', 'ETC', '救护', '护车', '救护车', '被', '强行', '收费']",
133,2020/01/03,"6-year-olds walking 60,000 steps mountain school",6岁孩子走6万步山路上学,7219423,34,"['6', '岁', '孩子', '走', '6', '万步', '山路', '上学']",
134,2020/01/03,Doctors secretly cheating tug of war,拔河比赛医生偷偷作弊,7182901,35,"['拔河', '比赛', '拔河比赛', '医生', '偷偷', '作弊']",
135,2020/01/03,Luoyun Xi comb dreadlocks embroidery,罗云熙梳脏辫刺绣,7135273,36,"['罗云熙', '梳脏', '辫', '刺绣']",
136,2020/01/03,Coast Guard soldiers salute after tickets to the conductor,海警战士购票后向售票员敬礼,7134608,37,"['海警', '战士', '购票', '后', '向', '售票', '售票员', '敬礼']",
137,2020/01/03,Du Haitao Wu Hsin quarrel due to four dollars and good,吴昕杜海涛吵架因4块钱和好,7047069,38,"['吴昕', '杜', '海涛', '吵架', '因', '4', '块钱', '和', '好']",
138,2020/01/03,Wang Junkai Nortel ending premiere,王俊凯北电期末公演,7022067,39,"['王俊凯', '北电', '期末', '公演']",
139,2020/01/03,Sea stars mv release,星辰大海mv发布,6996483,40,"['星辰', '大海', 'mv', '发布']",
140,2020/01/03,Police jumped into the water to save people lifted,民警跳入水中托举救人,6938058,41,"['民警', '跳入', '水中', '托举', '救人']",
141,2020/01/03,"He Jiong, Xie Na hug across the sea",何炅穿越人海拥抱谢娜,6928841,42,"['何炅', '穿越', '人', '海', '拥抱', '谢娜']",
142,2020/01/03,Luhan eat sowing,鹿晗吃播,6882974,43,"['鹿晗', '吃播']",
143,2020/01/03,Guo unicorn to me than my dad fire,郭麒麟 我比我爸火,6879982,44,"['郭', '麒麟', ' ', '我', '比', '我', '爸火']",
144,2020/01/03,Potion brother and a dragon,药水哥 一龙,6836824,45,"['药水', '哥', ' ', '一龙']",
145,2020/01/03,East Zupančič beat James to the west ticket king,东契奇力压詹姆斯成西部票王,6817990,46,"['东契奇力', '压', '詹姆斯', '成', '西部', '票王']",
146,2020/01/03,Yi Xi smelt one thousand inch head,易烊千玺寸头,6784437,47,"['易', '烊', '千玺', '寸头']",
147,2020/01/03,2020 pairs leap year,2020双闰年,6739546,48,"['2020', '双', '闰年']",
148,2020/01/03,Wang Kai fake video won the case,王凯假视频案胜诉,6693540,49,"['王凯', '假', '视频', '案', '胜诉']",
149,2020/01/03,Why this change fast Kyung broadcast time,快本为何炅改播出时间,6651850,50,"['快本', '为何', '炅', '改', '播出', '时间']",
150,2020/01/04,Trump said the US military air strikes to stop the war,特朗普称美军空袭为阻止战争,11157918,1,"['特朗普', '称', '美军', '空袭', '为', '阻止', '战争']",
151,2020/01/04,Zhang Yixing face scalped tickets,张艺兴面对黄牛票,9976260,2,"['张艺兴', '面对', '黄牛', '黄牛票']",
152,2020/01/04,Xiaozhan darted surface bounding in,肖战蹦蹦哒哒去吃小面,9770352,3,"['肖战', '蹦蹦', '哒', '哒', '去', '吃', '小面']",
153,2020/01/04,When your mother asks you home for dinner it,当你妈问你回家吃饭吗,9552321,4,"['当', '你', '妈', '问', '你', '回家', '吃饭', '吗']",
154,2020/01/04,Potion brother and a dragon,药水哥 一龙,9298500,5,"['药水', '哥', ' ', '一龙']",
155,2020/01/04,Iraqi militias raid team was 6 deaths,伊拉克民兵组织车队遭空袭6人死亡,9092910,6,"['伊拉', '拉克', '伊拉克', '民兵', '组织', '民兵组织', '车队', '遭', '空袭', '6', '人', '死亡']",
156,2020/01/04,Ji 1162,辛弃疾1162,9030382,7,"['辛弃疾', '1162']",
157,2020/01/04,Returned four sons gathered vibrato,归国四子齐聚抖音,8890951,8,"['归国', '四子', '齐聚', '抖音']",
158,2020/01/04,Jinfu Jiang Uruguay responded to prosecute ex-girlfriend,蒋劲夫乌拉圭前女友回应起诉,8884617,9,"['蒋劲夫', '乌拉', '乌拉圭', '女友', '前女友', '回应', '起诉']",
159,2020/01/04,Tang Fei sent sixty thousand red envelopes to respond,唐一菲回应发六万红包,8844896,10,"['唐一菲', '回应', '发', '六万', '红包']",
160,2020/01/04,Zhou Zhennan champagne spicy chicken out of hand,周震南喝香槟辣出鸡爪手,8663735,11,"['周震南', '喝', '香槟', '辣出', '鸡爪', '手']",
161,2020/01/04,Yi Xi smelt one thousand inch head,易烊千玺寸头,8628843,12,"['易', '烊', '千玺', '寸头']",
162,2020/01/04,Year built Vientiane,新年造万象,8516225,13,"['新年', '造', '万象']",
163,2020/01/04,Reba take you to fly along the New Year,热巴带你新年顺到飞起,8459916,14,"['热巴', '带', '你', '新年', '顺到', '飞起']",
164,2020/01/04,Luhan airborne vibrato save fondue Bureau,鹿晗空降抖音攒火锅局,8434022,15,"['鹿晗', '空降', '抖音', '攒', '火锅', '局']",
165,2020/01/04,Wu Chun Jiro Wang party tune,吴尊汪东城聚会合拍,8110965,16,"['吴尊', '东城', '汪东城', '聚会', '合拍']",
166,2020/01/04,Zhang Yixing straight men's curly hair,张艺兴直男式卷头发,8042625,17,"['张艺兴直', '男式', '卷', '头发']",
167,2020/01/04,40-year-old Lee Dong-wook,40岁的李栋旭,7962908,18,"['40', '岁', '的', '李栋旭']",
168,2020/01/04,Iran's supreme leader said it would retaliate severely USA,伊朗最高领导人称将严厉报复美国,7851027,19,"['伊朗', '最高', '领导', '领导人', '称', '将', '严厉', '报复', '美国']",
169,2020/01/04,Jimmy Lin sing seventeen of the rainy season,林志颖再唱十七岁的雨季,7760156,20,"['林志颖', '再', '唱', '十七', '七岁', '十七岁', '的', '雨季']",
170,2020/01/04,肖战 cappella,肖战 清唱,7627234,21,"['肖战', ' ', '清唱']",
171,2020/01/04,The last traces of the Yangtze River white sturgeon,长江白鲟的最后踪迹,7543888,22,"['长江', '白鲟', '的', '最后', '踪迹']",
172,2020/01/04,Little Zhou listen to my mother playing and singing,小小周弹唱听妈妈的话,7450777,23,"['小小', '周', '弹唱', '听', '妈妈', '的话']",
173,2020/01/04,2020's first meteor shower,2020年首场流星雨,7372628,24,"['2020', '年', '首场', '流星', '流星雨']",
174,2020/01/04,Wu Lei and his own handshake,吴磊和自己握手,7166621,25,"['吴磊', '和', '自己', '握手']",
175,2020/01/04,Air leakage star sanctions passenger information staff,国航处分泄露明星乘客信息员工,7082678,26,"['国航', '处分', '泄露', '明星', '乘客', '信息', '员工']",
176,2020/01/04,Angelababy imitate Wu Yifan recorded songs,Angelababy模仿吴亦凡录歌,7051296,27,"['Angelababy', '模仿', '吴亦凡', '录歌']",
177,2020/01/04,Bieber song,比伯新歌,7041811,28,"['新歌', '比伯新歌']",
178,2020/01/04,Jolin Tsai Deng purple chess same stage,蔡依林邓紫棋同台,7027974,29,"['蔡依林', '邓紫棋', '同台']",
179,2020/01/04,High speed 550 kilometers charge 3870 yuan,高速行驶550公里收费3870元,7027659,30,"['高速', '行驶', '高速行驶', '550', '公里', '收费', '3870', '元']",
180,2020/01/04,Cecilia wants to further cooperation and Yeh,张柏芝想和星爷再合作,6952309,31,"['张柏芝', '想', '和', '星爷', '再', '合作']",
181,2020/01/04,Ren Jialun eyes kill,任嘉伦眼神杀,6947503,32,"['任嘉伦', '眼神', '杀']",
182,2020/01/04,Picasso paintings worth 180 million yuan torn,价值1.8亿元毕加索名画被撕,6836945,33,"['价值', '1.8', '亿元', '毕加索', '名画', '被', '撕']",
183,2020/01/04,What is it like to go KTV Star,明星去KTV是什么样子,6810737,34,"['明星', '去', 'KTV', '是', '什么', '样子']",
184,2020/01/04,12 year-old boy saved the whole building residents,12岁少年救了整楼居民,6725598,35,"['12', '岁', '少年', '救', '了', '整楼', '居民']",
185,2020/01/04,Washington on alert,美国华盛顿进入戒备状态,6710744,36,"['美国', '华盛', '华盛顿', '进入', '戒备', '状态', '戒备状态']",
186,2020/01/04,Slag pot shop set up scholarships for the school,火锅店为学渣设奖学金,6546082,37,"['火锅', '火锅店', '为学渣', '设', '奖学', '奖学金']",
187,2020/01/04,William Chan broke the news Zhongchu Xi can eat,陈伟霆爆料钟楚曦很能吃,6488171,38,"['陈伟霆', '爆料', '钟楚曦', '很', '能', '吃']",
188,2020/01/04,Small Thomas the opening 88 seconds deported,小托马斯开场88秒遭驱逐,6487269,39,"['小', '托马', '托马斯', '开场', '88', '秒', '遭', '驱逐']",
189,2020/01/04,Li Landi cry,李兰迪哭了,6458470,40,"['李兰迪', '哭', '了']",
190,2020/01/04,When asked how angry deer,小鹿生气的时候怎么叫,6385440,41,"['小鹿', '生气', '的', '时候', '怎么', '叫']",
191,2020/01/04,East Zupančič beat James to the west ticket king,东契奇力压詹姆斯成西部票王,6319893,42,"['东契奇力', '压', '詹姆斯', '成', '西部', '票王']",
